"LOCATION","STATUS","DESCRIPTION","ADDRESS1","ADDRESS2","CITY","STATE","ZIP"
"L0126","A","Los Gatos","308 N Santa Cruz Avenue"," ","Los Gatos","CA","95030"
"L0127","A","Palo Alto","414 S. California Street"," ","Palo Alto","CA","94306"
"L0128","A","Mountain View","501 Castro Street"," ","Mountain View","CA","94041"
"L0129","A","Santa Clara","1705 El Camino Real"," ","Santa Clara","CA","95050"
"L0131","A","Civic Center","890 North First Street"," ","San Jose","CA","95112"
"L0132","A","Saratoga","18860 Cox Avenue"," ","Saratoga","CA","95070"
"L0133","A","Hamilton-Meridian","1590 Hamilton Avenue"," ","San Jose","CA","95125"
"L0134","A","Sunnyvale","380 South Mathilda"," ","Sunnyvale","CA","94086"
"L0135","A","Stevens Creek-Saratoga","3888 Stevens Creek Boulevard"," ","San Jose","CA","95117"
"L0136","A","Mckee-White","3081 McKee Road"," ","San Jose","CA","95127-1835"
"L0137","A","Campbell","2395 Winchester Boulevard"," ","Campbell","CA","95008"
"L0138","A","Gilroy","7865 Monterey Street"," ","Gilroy","CA","95020"
"L0139","A","Cambrian","14948 Camden Avenue"," ","San Jose","CA","95124"
"L0140","A","Cupertino","11111A  N. Wolfe Road"," ","Cupertino","CA","95014"
"L0141","A","Milpitas","1360 E Calaveras Boulevard"," ","Milpitas","CA","95035"
"L0142","A","Santa Teresa-Cottle","6213 Santa Teresa Boulevard"," ","San Jose","CA","95119"
"L0144","A","San Leandro","1601 Washington Avenue"," ","San Leandro","CA","94577"
"L0145","A","San Lorenzo","17833 Hesperian Boulevard"," ","San Lorenzo","CA","94580"
"L0146","A","908 Blossom Hill Road","908 Blossom Hill Road"," ","San Jose","CA","95123"
"L0147","A","Pruneyard","1999 South Bascom Avenue"," ","Campbell","CA","95008"
"L0149","A","Hayward","1058 B Street"," ","Hayward","CA","94541"
"L0150","A","Pleasanton","5452 Sunol Boulevard"," ","Pleasanton","CA","94566"
"L0151","A","615 Tasman Dr","615 Tasman Dr","Suite D","Sunnyvale","CA","94089"
"L0152","A","Bollinger","965 S DeAnza Blvd"," ","San Jose","CA","95129"
"L0153","A","295 Bush Street","295 Bush Street"," ","San Francisco","CA","94104"
"L0155","A","Fremont","5120 Mowry Avenue"," ","Fremont","CA","94538"
"L0156","A","Morgan Hill","206 Tennant Station"," ","Morgan Hill","CA","95037"
"L0160","A","Tulare","333 E Tulare Avenue"," ","Tulare","CA","93274-4134"
"L0161","A","Portola","2675 San Bruno Avenue"," ","San Francisco","CA","94134"
"L0162","A","Hanford","230 W 7th Street"," ","Hanford","CA","93230-4522"
"L0163","A","Visalia","2301 S Mooney Boulevard"," ","Visalia","CA","93277-6228"
"L0164","A","Dinuba","345 E Tulare Street"," ","Dinuba","CA","93618-2397"
"L0165","A","Clement Street","801 Clement Street"," ","San Francisco","CA","94118"
"L0166","A","Santa Rosa","2801 4th Street"," ","Santa Rosa","CA","95405"
"L0167","A","Lakeside","2606 Ocean Avenue"," ","San Francisco","CA","94132"
"L0168","A","Napa","3300 Jefferson Street"," ","Napa","CA","94558-3438"
"L0169","A","Sebastopol","100 S Main Street"," ","Sebastopol","CA","95472-4294"
"L0170","A","Petaluma Plaza","311 N McDowell Boulevard"," ","Petaluma","CA","94954"
"L0173","A","North Beach","480 Columbus Avenue"," ","San Francisco","CA","94133"
"L0175","A","Serramonte","321 Gellert Boulevard"," ","Daly City","CA","94015"
"L0176","A","Oakley","2195 Main St","Ste D","Oakley","CA","94561"
"L0177","A","El Cerrito","11100 San Pablo Avenue"," ","El Cerrito","CA","94530"
"L0178","A","Escalon","1633 First Street"," ","Escalon","CA","95320"
"L0179","A","Hughson","6800 Hughson Avenue","PO Box 818","Hughson","CA","95326"
"L0180","A","Novato","1313 Grant Avenue"," ","Novato","CA","94945"
"L0181","A","Parlier","510 J Street"," ","Parlier","CA","93648"
"L0182","A","Manteca","150 Commerce Ave"," ","Manteca","CA","95336"
"L0185","A","Newark","35125 Newark Boulevard"," ","Newark","CA","94560"
"L0186","A","Gridley","34 East Gridley Road"," ","Gridley","CA","95948"
"L0187","A","Woodland","186 Main Street"," ","Woodland","CA","95695"
"L0188","A","Washington Manor","15075 Farnsworth Street"," ","San Leandro","CA","94579"
"L0189","A","San Mateo","195 E 4th Avenue"," ","San Mateo","CA","94401"
"L0190","A","Orinda","21 Moraga Way"," ","Orinda","CA","94563"
"L0191","A","Lakeshore","3400 Lakeshore Avenue"," ","Oakland","CA","94610"
"L0192","A","Loehmann's Plaza","2581 Fair Oaks Boulevard"," ","Sacramento","CA","95825"
"L0193","A","Medical Center Hill","3305 Broadway"," ","Oakland","CA","94611"
"L0195","A","4932 Pacific Avenue","4932 Pacific Avenue"," ","Stockton","CA","95207"
"L0196","A","Oro-Dam","2626 Oro-Dam Boulevard"," ","Oroville","CA","95966"
"L0197","A","Pebble Beach","17 Mile Drive at Cypress","P.O. Box 1158","Pebble Beach","CA","93953"
"L0198","A","Waterford","12710 Bentley Street"," ","Waterford","CA","95386"
"L0199","A","Berkeley","1480 Shattuck Avenue"," ","Berkeley","CA","94709"
"L0200","A","Concord","1969 Diamond Boulevard"," ","Concord","CA","94520"
"L0201","A","Antioch","2507 Somersville Road"," ","Antioch","CA","94509"
"L0202","A","Walnut Creek","2050 N California Boulevard"," ","Walnut Creek","CA","94596"
"L0203","A","Paradise","6405 Clark Road","PO Box 1270","Paradise","CA","95969"
"L0205","A","810 SW Broadway","810 SW Broadway"," ","Portland","OR","97205"
"L0206","A","Lloyd Center","905 NE Halsey Street"," ","Portland","OR","97232"
"L0207","A","82nd and Division","8135 SE Division Street"," ","Portland","OR","97206"
"L0208","A","Gresham","825 NE Hogan Road"," ","Gresham","OR","97030"
"L0209","A","Milwaukie","11050 SE McLoughlin Boulevar"," ","Milwaukie","OR","97222"
"L0210","A","Oregon City","1301 Molalla Avenue"," ","Oregon City","OR","97045"
"L0211","A","Estacada","365 SW Broadway"," ","Estacada","OR","97023"
"L0212","A","St. Helens","465 S Columbia River Hwy"," ","St. Helens","OR","97051"
"L0213","A","Nimbus Center","9950 SW Nimbus Avenue"," ","Beaverton","OR","97008"
"L0215","A","Tanasbourne","2495 NW Town Center Drive"," ","Beaverton","OR","97006"
"L0216","A","Forest Grove","1926 Pacific Ave"," ","Forest Grove","OR","97116"
"L0217","A","Cornelius","80 N 17th Avenue","PO Box 446","Cornelius","OR","97113"
"L0218","A","Tigard Towne Square","16200 SW Pacific Highway, suite J"," ","Tigard","OR","97224"
"L0219","A","Tualatin","7925 SW Nyberg Road"," ","Tualatin","OR","97062"
"L0220","A","Larkspur","494 Magnolia Ave"," ","Larkspur","CA","94939"
"L0221","A","Fashion Fair","515 East Shaw Avenue"," ","Fresno","CA","93710"
"L0222","A","Clovis","200 Shaw Avenue"," ","Clovis","CA","93612"
"L0223","A","Calistoga","1317 Lincoln Avenue"," ","Calistoga","CA","94515"
"L0224","A","Clearlake","15050 Olympic Drive"," ","Clearlake","CA","95422"
